name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
hemoglobina_nino,Hemoglobina_nino,nino,g. Índices biológicos,Hemoglobina del niño (g/dL),numeric_continuous,0,19.3,,,bounds inferred from observed range with buffer; requires review
hbn_ajustada,HBN_AJUSTADA,nino,g. Índices biológicos,Hemoglobina (g/dL) ajustado por altura (OMS),numeric_continuous,3,25,,g/dL,
nboletahogar,nboletahogar,hogar,a. Información básica,número del cuestionario del hogar,id,,,,,
notabletahogar,NoTabletaHogar,hogar,a. Información básica,Número de la tableta electrónica para la encuesta,id,,,,,
mujerelegible,MUJERELEGIBLE,hogar,a. Información básica,Hay una mujer entre 15-49 años que vive en la casa,binary,,,1;2,,
ninoelegible,NINOELEGIBLE,hogar,a. Información básica,Hay un niño menor de 5 años que vive en la casa,binary,,,1;2,,
retinol_mg_kg,Retinol_mg_kg,hogar,f. Micronutrientes en alimentos,Retinol en azúcar (mg/kg),numeric_continuous,0,1000,,mg/kg,retinol fortification
obs_retinol_azuc,Obs_Retinol_Azuc,hogar,f. Micronutrientes en alimentos,Observaciones del analisis de retinol en azúcar,binary,,,< 1.5 mg/kg,,
yodo_mg_kg,Yodo_mg_kg,hogar,f. Micronutrientes en alimentos,Yodo en sal (mg/kg),numeric_continuous,0,200,,mg/kg,iodine in salt
obs_yodosal,Obs_Yodosal,hogar,f. Micronutrientes en alimentos,Observaciones del analisis de yodo en sal,binary,,,< 1;No detectado,,
hierro_mg_kg,Hierro_mg_kg,hogar,f. Micronutrientes en alimentos,Hierro en azúcar (mg/kg),numeric_continuous,0,500,,mg/kg,iron fortification
obs_hierro_azuc,Obs_hierro_azuc,hogar,f. Micronutrientes en alimentos,Observaciones del analisis de hierro en azúcar,factor,,,"<0.8 mg/kg;<0.8 mg/kg, Código de sal, es azúcar;<0.8 mg/kg, Peso de muestra <10 gramos;INSUFICIENTE;No detectado;No detectado, Peso de muestra <10 gramos;Peso de muestra <10 gramos",,
